total 164
  Pr0.00   0x0001 指令脉冲数 /转                  rng=[200,51200] def=10000 unit='P / R'
  Pr5.00   0x0191 电机峰值电流                    rng=[0,22] def=22 unit='0 . 1A'
  Pr5.01   0x0193 闭环保持电流百分比                 rng=[0,50] def=50 unit='%'
  Pr5.02   0x0195 开环保持电流百分比                 rng=[0,50] def=50 unit='%'
  Pr5.03   0x0197 上电锁轴电流百分比                 rng=[0,100] def=100 unit='--'
  Pr5.04   0x0199 锁轴持续时间                    rng=[0,1500] def=200 unit='1ms'
  Pr5.05   0x019B 锁轴相位                      rng=[0,65535] def=0 unit='--'
  Pr5.07   0x019F 上电锁轴电流上升时 间               rng=[1,60] def=1 unit='100ms'
  Pr5.08   0x01A1 上电起动时间                    rng=[0,30] def=1 unit='ms'
  Pr5.09   0x01A3 上电自动运行                    rng=[0,1] def=0 unit='--'
  Pr5.10   0x01A5 停车最长时间                    rng=[100,1000] def=1000 unit='ms'
  Pr5.13   0x01AB 电流环上电自整定                  rng=[0,1] def=1 unit='--'
  Pr5.22   0x01BD 485 波特率                   rng=[0,6] def=4 unit='--'
  Pr5.23   0x01BF 485 ID                    rng=[0,127] def=1 unit='--'
  Pr5.24   0x01C1 485 数据类型选择                rng=[0,11] def=4 unit='--'
  Pr5.25   0x01C3 485 控制命令字                 rng=[0,32767] def=0 unit='--'
  Pr5.26   0x01C4 485 通讯位延时                 rng=[0,100] def=35 unit='bit'
  Pr5.26   0x01C5 485 通讯位延迟                 rng=[15,100] def=35 unit='bit'
  Pr5.32   0x01D1 待机时间                      rng=[10,65535] def=200 unit='ms'
  Pr5.33   0x01D3 待机电流百分比                   rng=[0,100] def=50 unit=''
  Pr6.00   0x01E1 试运行（ JOG ）速度指 令           rng=[0,5000] def=60 unit='r / min'
  Pr6.01   0x01E3 试运行（ JOG ）等待间 隔           rng=[0,10000] def=100 unit='ms'
  Pr6.02   0x01E5 试运行循环次数                   rng=[0,30000] def=1 unit='--'
  Pr6.03   0x01E7 试运行（ JOG ）加减速 时间          rng=[10,10000] def=200 unit='--'
  Pr6.15   0x01FF 版本信息                      rng=[0,65535] def=0 unit='--'
  Pr6.16   0x0201 版本信息                      rng=[0,65535] def=0 unit='--'
  Pr6.20   0x0209 R4D 状态字                   rng=[0,65535] def=0 unit='--'
  Pr7.00   0x0231 电机类型选择                    rng=[0,100] def=0 unit='--'
  Pr7.02   0x0235 反电势系数                     rng=[0,32767] def=100 unit='1ms'
  Pr7.03   0x0237 电流环比例增益 P                 rng=[0,3000] def=1500 unit='--'
  Pr7.04   0x0239 电流环积分增益 I                 rng=[0,1500] def=300 unit='--'
  Pr7.05   0x023B 电流环增益调整比例                 rng=[0,1024] def=100 unit='--'
  Pr7.06   0x023D 电流环 Kc                    rng=[0,32767] def=300 unit='--'
  Pr7.09   0x0243 过压阈值                      rng=[0,1000] def=90 unit='V'
  Pr8.00   0x6000 PR 控制设置                   rng=[-32768,32767] def=0 unit='--'
  Pr8.02   0x6002 控制操作                      rng=[-32768,32767] def=0 unit='--'
  Pr8.06   0x6006 正限位 H                     rng=[None,None] def=None unit=''
  Pr8.07   0x6007 正软件限位                     rng=[-2147483648,2147483647] def=2147483647 unit='--'
  Pr8.08   0x6008 负限位 H                     rng=[None,None] def=None unit=''
  Pr8.09   0x6009 负软件限位                     rng=[-2147483648,2147483647] def=-2147483648 unit='--'
  Pr8.10   0x600A 回零模式                      rng=[-32768,32767] def=0 unit='--'
  Pr8.11   0x600B 零位位置 H                    rng=[None,None] def=None unit=''
  Pr8.12   0x600C 零位位置                      rng=[-2147483648,2147483647] def=0 unit='pulse'
  Pr8.13   0x600D 回零停止位置 H                  rng=[None,None] def=None unit=''
  Pr8.14   0x600E 回零停止位                     rng=[-2147483648,214748364] def=0 unit='pulse'
  Pr8.15   0x600F 回零高速                      rng=[1,6000] def=200 unit='rpm'
  Pr8.16   0x6010 回零低速                      rng=[1,6000] def=50 unit='rpm'
  Pr8.17   0x6011 回零加速速                     rng=[1,32767] def=100 unit='ms / Krp m'
  Pr8.18   0x6012 回零减速速                     rng=[1,32767] def=100 unit='ms / Krp m'
  Pr8.19   0x6013 力矩回零时间                    rng=[0,32767] def=100 unit='ms'
  Pr8.20   0x6014 力矩回零值                     rng=[0,32767] def=50 unit='%'
  Pr8.21   0x6015 回零超程                      rng=[0,32767] def=0 unit='0.1r'
  Pr8.22   0x6016 限位急停减速度                   rng=[1,32767] def=10 unit='ms / Krp m'
  Pr8.23   0x6017 STP 急停减速度                 rng=[1,32767] def=50 unit='ms / Krp m'
  Pr8.24   0x6018 编码器记忆值 H                  rng=[None,None] def=None unit=''
  Pr8.25   0x6019 编码器记忆值 L                  rng=[None,None] def=None unit=''
  Pr8.26   0x601A IO 组合触发模式                 rng=[0,65535] def=0 unit='--'
  Pr8.27   0x601B IO 组合滤波                   rng=[0,32767] def=0 unit='ms'
  Pr8.28   0x601C S 码当前输出值                  rng=[0,32767] def=0 unit='--'
  Pr8.29   0x601D PR 警告                     rng=[0,32767] def=0 unit='--'
  Pr8.38   0x6026 JOG2 速度                   rng=[-2500,2500] def=50 unit='rpm'
  Pr8.39   0x6027 JOG1 速度                   rng=[-2500,2500] def=200 unit='rpm'
  Pr8.40   0x6028 JOG 加速度                   rng=[0,32767] def=1000 unit='ms / Krp m'
  Pr8.41   0x6029 JOG 减速度                   rng=[0,32767] def=1000 unit='ms / Krp m'
  Pr8.42   0x602A 命令位置 H                    rng=[-2147483648,2147483647] def=0 unit='pulse'
  Pr8.43   0x602B 命令位置 L                    rng=[None,None] def=None unit=''
  Pr8.44   0x602C 电机位置 H                    rng=[-2147483648,2147483647] def=0 unit='pulse'
  Pr8.45   0x602D 电机位置 L                    rng=[None,None] def=None unit=''
  Pr8.46   0x602E 输入 IO                     rng=[-32768,32767] def=0 unit=''
  Pr8.47   0x602F 输出 IO                     rng=[-32768,32767] def=0 unit='--'
  Pr8.48   0x6030 S 码设置                     rng=[-32768,32767] def=0 unit='--'
  Pr8.49   0x6031 S 码设置                     rng=[-32768,32767] def=0 unit='--'
  Pr8.50   0x6032 S 码设置                     rng=[-32768,32767] def=0 unit='--'
  Pr8.51   0x6033 S 码设置                     rng=[-32768,32767] def=0 unit='--'
  Pr8.52   0x6034 S 码设置                     rng=[-32768,32767] def=0 unit='--'
  Pr8.53   0x6035 S 码设置                     rng=[-32768,32767] def=0 unit='--'
  Pr8.54   0x6036 S 码设置                     rng=[-32768,32767] def=0 unit='--'
  Pr8.55   0x6037 S 码设置                     rng=[-32768,32767] def=0 unit='--'
  Pr8.56   0x6038 S 码设置                     rng=[-32768,32767] def=0 unit='--'
  Pr8.57   0x6039 S 码设置                     rng=[-32768,32767] def=0 unit='--'
  Pr8.58   0x603A S 码设置                     rng=[-32768,32767] def=0 unit='--'
  Pr8.59   0x603B S 码设置                     rng=[-32768,32767] def=0 unit='--'
  Pr8.60   0x603C S 码设置                     rng=[-32768,32767] def=0 unit='--'
  Pr8.61   0x603D S 码设置                     rng=[-32768,32767] def=0 unit='--'
  Pr8.62   0x603E S 码设置                     rng=[-32768,32767] def=0 unit='--'
  Pr8.63   0x603F S 码设置                     rng=[-32768,32767] def=0 unit='--'
  Pr9.00   0x6200 PR1 模式                    rng=[-32768,32767] def=0 unit='--'
  Pr9.01   0x6201 位置 H                      rng=[None,None] def=None unit=''
  Pr9.02   0x6202 PR1 位置                    rng=[-2147483648,2147483647] def=0 unit='pulse'
  Pr9.03   0x6203 PR0 速度                    rng=[-6000,6000] def=0 unit='rpm'
  Pr9.04   0x6204 PR0 加速度                   rng=[1,32767] def=100 unit='ms / Krp m'
  Pr9.05   0x6205 PR0 减速度                   rng=[1,32767] def=100 unit='ms / Krp m'
  Pr9.06   0x6206 PR0 停顿时间                  rng=[-32768,32767] def=0 unit='ms'
  Pr9.07   0x6207 特殊参数                      rng=[None,None] def=None unit=''
  Pr9.08   0x6208 运动模式路径 1                  rng=[None,None] def=None unit=''
  Pr9.09   0x6209 位置 H                      rng=[None,None] def=None unit=''
  Pr9.10   0x620A 位置 L                      rng=[None,None] def=None unit=''
  Pr9.11   0x620B 运行速度                      rng=[None,None] def=None unit=''
  Pr9.12   0x620C 加速时间                      rng=[None,None] def=None unit=''
  Pr9.13   0x620D 减速时间                      rng=[None,None] def=None unit=''
  Pr9.14   0x620E 停顿时间                      rng=[None,None] def=None unit=''
  Pr9.15   0x620F 特殊参数                      rng=[None,None] def=None unit=''
  Pr9.16   0x6210 运动模式路径 2                  rng=[None,None] def=None unit=''
  Pr9.17   0x6211 位置 H                      rng=[None,None] def=None unit=''
  Pr9.18   0x6212 位置 L                      rng=[None,None] def=None unit=''
  Pr9.19   0x6213 运行速度                      rng=[None,None] def=None unit=''
  Pr9.20   0x6214 加速时间                      rng=[None,None] def=None unit=''
  Pr9.21   0x6215 减速时间                      rng=[None,None] def=None unit=''
  Pr9.22   0x6216 停顿时间                      rng=[None,None] def=None unit=''
  Pr9.23   0x6217 特殊参数                      rng=[None,None] def=None unit=''
